Date,Open,High,Low,Close,Volume
2021-10-18,270.50,277.90,269.00,275.55,341103
2021-10-20,274.00,283.81,274.00,282.09,312751
2021-10-21,283.44,296.50,278.55,290.15,999959
2021-10-22,294.94,294.94,283.01,284.99,395739
2021-10-25,280.51,284.98,279.70,284.16,130129
2021-10-26,279.00,285.90,279.00,284.47,131020
2021-10-27,285.99,294.38,282.05,284.58,97134
2021-10-28,284.99,285.20,282.50,283.02,142563
2021-10-29,282.01,285.00,282.00,283.22,118192
2021-11-01,283.00,290.00,283.00,287.94,348826
2021-11-02,289.94,290.00,286.50,288.47,371360
2021-11-03,284.50,284.50,279.00,280.38,496087
2021-11-04,283.50,284.00,280.60,283.39,179913
2021-11-05,284.49,285.00,282.50,282.96,202505
2021-11-08,284.96,284.96,279.50,280.44,221808
2021-11-09,281.90,283.00,276.25,277.67,335663
2021-11-10,278.10,284.00,278.05,283.18,235435
2021-11-11,283.50,286.00,283.00,284.50,276865
2021-11-12,284.49,284.49,279.10,280.69,168260
2021-11-15,281.00,284.33,278.22,283.61,70089
2021-11-16,285.00,285.50,283.21,284.37,103539
2021-11-17,284.90,284.90,282.56,284.20,154936
2021-11-18,285.50,286.00,280.00,281.44,221642
2021-11-19,282.45,290.00,281.95,289.53,1566624
2021-11-22,290.49,290.49,284.00,284.48,142994
2021-11-23,286.45,286.45,283.50,284.01,715634
2021-11-24,284.48,284.48,275.00,275.44,1164475
2021-11-25,274.10,279.00,272.00,273.90,450962
2021-11-26,271.20,282.00,271.20,277.20,448538
2021-11-29,276.01,284.10,275.00,283.27,282898
2021-11-30,282.30,287.80,275.07,278.14,5474044
2021-12-01,280.00,280.00,276.10,278.81,299154
2021-12-02,278.00,280.00,265.31,269.98,646551
2021-12-03,273.00,286.00,270.01,278.94,695138
2021-12-06,278.00,280.50,275.06,276.47,150377
2021-12-07,278.40,280.00,270.10,273.92,565922
2021-12-08,274.00,275.00,270.00,270.73,86643
2021-12-09,270.00,273.90,268.69,270.12,80687
2021-12-10,271.90,271.90,267.00,270.29,121342
2021-12-13,271.00,274.00,269.00,270.18,139018
2021-12-14,271.00,271.00,266.00,269.34,324369
2021-12-15,269.00,275.00,269.00,272.99,214529
2021-12-16,271.51,272.99,268.00,268.61,110381
2021-12-17,270.00,270.80,266.99,267.31,99532
2021-12-20,269.50,273.07,267.40,271.59,245629
2021-12-21,271.99,272.50,268.06,268.39,98540
2021-12-22,270.45,270.45,267.76,268.50,62231
2021-12-23,269.50,269.98,268.00,268.18,96064
2021-12-24,269.00,269.20,267.25,268.10,168501
2021-12-27,268.90,268.99,267.45,267.69,101100
2021-12-28,266.69,270.00,265.00,265.31,471799
2021-12-29,265.40,267.50,264.00,265.69,256442
2021-12-30,264.40,271.89,264.40,270.97,317848
2021-12-31,268.06,274.00,268.06,272.42,252993
2022-01-03,272.00,278.00,271.26,276.38,209258
2022-01-04,276.38,278.78,274.95,275.31,91029
2022-01-05,276.00,276.00,273.60,275.11,72178
2022-01-06,275.00,275.00,273.00,273.60,90590
2022-01-07,274.80,278.49,272.40,276.35,381895
2022-01-10,275.02,277.81,273.51,274.97,223070
2022-01-11,274.99,275.00,270.12,272.04,298219
2022-01-12,272.00,274.00,271.20,271.96,175780
2022-01-13,272.95,273.73,270.40,271.25,162092
2022-01-14,271.51,273.10,271.25,272.03,237969
2022-01-17,272.92,272.92,271.01,272.24,77057
2022-01-18,273.50,275.75,271.40,275.20,514713
2022-01-19,275.20,277.40,271.75,272.27,319849
2022-01-20,272.66,273.79,270.00,270.82,202166
2022-01-21,272.39,272.40,271.01,271.73,166304
2022-01-24,272.93,273.90,270.05,273.05,224597
2022-01-25,273.50,273.95,270.14,270.52,254174
2022-01-26,272.72,272.72,270.01,271.26,213760
2022-01-27,271.02,272.70,270.50,271.74,132707
2022-01-28,272.90,272.90,270.70,271.10,146537
2022-01-31,272.00,272.60,270.52,272.24,116436
2022-02-01,272.24,273.60,270.56,273.44,90939
2022-02-02,271.71,275.50,271.71,275.00,112031
2022-02-03,276.99,278.00,273.26,274.51,144040
2022-02-04,275.44,278.37,273.00,273.40,288339
2022-02-07,274.65,275.77,274.00,275.43,118573
2022-02-08,275.51,284.81,274.25,284.10,1057239
2022-02-09,285.55,291.70,285.55,290.38,1077186
2022-02-10,288.01,290.80,286.01,286.63,560291
2022-02-11,287.75,288.18,283.61,284.59,270783
2022-02-14,284.00,284.00,278.35,281.40,301294
2022-02-15,281.10,284.90,280.51,284.26,176441
2022-02-16,284.90,286.99,281.72,285.65,234054
2022-02-17,277.00,278.49,273.10,274.97,813770
2022-02-18,275.00,276.94,274.00,276.48,317531
2022-02-21,276.51,277.70,275.02,276.45,131312
2022-02-22,276.00,276.27,270.70,273.49,613646
2022-02-23,275.89,275.89,271.00,272.18,347754
2022-02-24,270.00,272.00,264.50,265.37,573344
2022-02-25,268.50,269.90,265.00,268.25,209657
2022-02-28,269.95,274.00,266.50,272.94,360685
2022-03-01,275.01,275.25,272.50,273.67,163356
2022-03-02,273.67,273.67,267.00,268.28,395480
2022-03-03,268.23,270.00,266.50,269.91,181846
2022-03-04,269.00,275.00,267.67,272.47,283598
2022-03-07,272.01,272.01,265.10,267.24,390623
2022-03-08,265.60,269.99,265.10,266.03,354688
2022-03-09,264.10,272.00,264.10,269.02,639095
2022-03-10,271.81,271.81,268.90,270.09,448214
2022-03-11,271.81,271.90,267.03,268.73,270403
2022-03-14,266.10,271.00,266.10,268.06,200380
2022-03-15,270.45,270.45,267.25,269.03,215961
2022-03-16,269.00,269.44,267.00,267.25,75727
2022-03-17,269.00,269.00,266.00,266.43,72845
2022-03-18,266.00,266.10,262.15,263.02,303206
2022-03-21,266.90,266.90,262.00,262.62,291416
2022-03-22,261.00,267.01,261.00,265.16,298800
2022-03-24,267.00,267.00,262.40,263.99,200162
2022-03-25,265.00,265.00,263.00,263.75,167801
2022-03-28,266.00,266.00,262.00,262.77,298767
2022-03-29,263.05,264.75,262.52,262.85,296020
2022-03-30,264.25,265.32,262.91,264.14,210019
2022-03-31,264.20,268.15,264.15,267.60,289508
2022-04-01,268.75,272.50,265.05,271.05,301284
2022-04-04,268.51,268.51,264.00,266.13,186662
2022-04-05,265.10,268.78,265.00,265.82,222804
2022-04-06,266.00,272.80,265.05,271.89,469688
2022-04-07,274.49,277.00,269.50,269.98,303149
2022-04-08,270.01,273.00,270.01,272.05,569403
2022-04-11,276.10,281.45,276.10,279.65,1269732
2022-04-12,279.62,280.05,277.00,278.96,834773
2022-04-13,279.00,281.65,278.00,279.82,349392
2022-04-14,280.50,289.99,279.00,287.92,939278
2022-04-15,288.60,295.00,288.00,291.58,918177
2022-04-18,290.35,294.50,288.55,289.32,553334
2022-04-19,291.90,297.84,290.50,296.23,1226658
2022-04-20,296.00,298.40,294.00,294.77,238668
2022-04-21,294.99,297.00,285.00,286.62,1128309
2022-04-22,287.20,288.94,284.00,284.69,247484
2022-04-25,286.04,291.89,283.01,289.58,1095354
2022-04-26,289.99,296.50,289.51,290.76,729362
2022-04-27,278.11,282.00,278.00,278.13,391043
2022-04-28,278.00,279.63,273.00,277.75,482627
2022-05-06,278.85,278.85,272.25,275.18,133979
2022-05-09,275.01,276.40,268.82,269.92,726833
2022-05-10,272.49,273.00,270.00,272.31,278870
2022-05-11,273.00,273.00,267.11,269.90,397897
2022-05-12,272.46,272.46,266.00,268.00,519244
2022-05-13,269.98,270.99,267.00,270.01,324283
2022-05-16,272.40,272.40,266.00,267.12,276083
2022-05-17,268.98,268.98,266.11,267.98,209304
2022-05-18,268.50,270.15,266.40,266.51,250778
2022-05-19,266.66,270.00,266.41,268.40,88984
2022-05-20,270.39,270.39,265.75,267.20,154384
2022-05-23,269.00,269.00,264.00,264.21,780808
2022-05-24,265.50,267.00,263.03,264.10,221176
2022-05-25,266.49,267.00,258.50,265.17,356554
2022-05-26,262.00,267.50,262.00,266.60,234186
2022-05-27,270.00,271.00,264.00,265.22,379511
2022-05-30,269.89,269.89,263.00,266.37,61762
2022-05-31,268.00,269.80,264.01,268.08,855313
2022-06-01,268.08,270.31,266.00,267.15,694873
2022-06-02,267.20,269.00,263.13,264.33,172411
2022-06-03,264.20,264.20,261.00,262.13,254767
2022-06-06,260.00,264.99,260.00,262.76,75726
2022-06-07,264.70,264.95,262.00,262.47,80197
2022-06-08,263.00,263.97,260.10,261.31,85305
2022-06-09,263.10,263.57,261.00,261.29,130088
2022-06-10,261.05,264.11,261.01,263.83,50030
2022-06-13,262.05,263.83,260.51,260.84,277526
2022-06-14,260.56,263.20,258.90,261.02,152702
2022-06-15,261.90,262.24,261.00,261.20,677404
2022-06-16,261.70,261.99,260.76,261.30,208213
2022-06-17,261.94,265.25,260.75,264.27,1928968
2022-06-20,265.00,266.40,262.00,263.05,397718
2022-06-21,263.35,264.93,262.75,264.50,403637
2022-06-22,265.49,265.95,262.25,262.85,374290
2022-06-23,263.01,265.50,263.01,263.90,468410
2022-06-24,263.90,264.34,247.00,253.81,605024
2022-06-27,254.95,258.05,254.95,256.98,146727
2022-06-28,257.15,259.25,257.00,257.38,117873
2022-06-29,258.75,258.75,255.01,255.76,93569
2022-06-30,255.76,259.00,254.75,257.09,82278
2022-07-01,256.04,258.50,255.51,256.04,174464
2022-07-04,256.01,257.00,252.90,254.06,96607
2022-07-05,253.02,255.00,253.02,253.68,31100
2022-07-06,255.79,257.00,252.00,252.30,117545
2022-07-07,253.94,253.94,251.50,251.96,132658
2022-07-13,253.00,253.40,250.21,252.79,184167
2022-07-14,253.50,258.25,253.50,257.40,261693
2022-07-15,257.50,258.89,254.60,256.73,138568
2022-07-18,255.89,256.80,251.03,251.97,335429
2022-07-19,253.90,254.95,240.51,244.70,303480
2022-07-20,244.90,245.99,243.01,243.75,97806
2022-07-21,244.00,244.00,241.05,241.57,94112
2022-07-22,245.99,246.00,241.05,245.17,127238
2022-07-25,245.00,245.00,241.50,242.42,45264
2022-07-26,246.90,246.90,240.25,241.54,30890
2022-07-27,242.00,243.50,235.00,238.83,305626
2022-07-28,239.98,242.70,235.70,236.95,804059
2022-07-29,236.90,237.00,234.00,234.62,308897
2022-08-01,235.00,238.00,232.00,232.11,151675
2022-08-02,230.05,238.47,228.00,235.54,159463
2022-08-03,236.00,238.95,236.00,238.03,378803
2022-08-04,239.84,241.00,236.80,237.11,291055
2022-08-05,238.99,240.00,236.13,238.92,374564
2022-08-10,239.01,246.00,239.01,242.23,488208
2022-08-11,244.00,245.50,240.00,240.46,191999
2022-08-12,242.00,245.99,240.70,243.01,115671
2022-08-15,243.05,249.00,243.05,248.05,149052
2022-08-16,249.00,254.10,248.00,252.13,447763
2022-08-17,254.90,260.00,253.00,253.65,735261
2022-08-18,255.79,255.79,251.00,251.86,171873
2022-08-19,253.00,253.00,251.21,251.71,218396
2022-08-22,252.00,253.00,250.00,250.26,102368
2022-08-23,252.00,256.00,252.00,254.78,414783
2022-08-24,256.00,260.99,254.75,259.35,536361
2022-08-25,249.00,249.25,244.50,245.23,244945
2022-08-26,248.39,248.39,240.00,242.85,174938
2022-08-29,240.25,243.50,238.75,242.77,132496
2022-08-30,243.60,246.00,238.81,239.31,103099
2022-08-31,242.39,242.39,237.06,238.36,367789
2022-09-01,240.00,240.15,238.00,238.29,192856
2022-09-02,239.85,239.97,237.50,237.99,114182
2022-09-05,238.99,238.99,232.75,234.04,223663
2022-09-06,234.00,235.99,232.10,232.94,309769
2022-09-07,232.10,234.49,230.82,230.98,248796
2022-09-08,232.48,232.55,230.80,231.13,227190
2022-09-09,232.75,232.96,230.00,230.90,356877
2022-09-12,231.90,231.90,230.50,230.82,43332
2022-09-13,231.75,233.00,230.70,232.14,127847
2022-09-14,232.45,232.95,230.00,230.58,255869
2022-09-15,231.00,231.90,226.01,227.64,318924
2022-09-16,229.95,234.49,225.30,229.42,1692960
2022-09-19,231.00,237.70,229.49,233.36,2445476
2022-09-20,233.40,233.99,231.50,233.17,462108
2022-09-21,233.90,234.00,230.00,233.02,450660
2022-09-22,233.00,235.00,229.10,234.25,605072
2022-09-23,234.50,234.50,229.25,229.91,252800
2022-09-26,230.99,234.00,230.00,233.56,473682
2022-09-27,234.40,234.40,229.20,231.32,629243
2022-09-28,231.51,248.66,231.00,231.81,851630
2022-09-29,231.81,232.75,229.02,230.65,181075
2022-09-30,231.75,232.30,229.00,231.52,251664
2022-10-03,230.40,233.13,230.20,230.84,200273
2022-10-04,231.00,233.50,231.00,232.99,230476
2022-10-05,233.65,234.00,232.00,232.43,108264
2022-10-06,231.30,237.50,231.30,236.41,479157
2022-10-07,236.40,242.00,235.00,239.60,680212
2022-10-10,240.00,242.00,236.80,237.55,205002
2022-10-11,238.01,241.10,237.60,238.69,324271
2022-10-12,238.99,239.50,236.90,237.51,145493
2022-10-13,237.52,238.00,236.51,237.12,214850
2022-10-14,237.95,238.00,236.80,237.43,119409
2022-10-17,237.95,238.00,235.51,236.08,170992
2022-10-18,235.48,237.48,235.01,235.86,117283
2022-10-19,239.00,242.99,237.60,242.21,730216
2022-10-20,243.50,244.50,241.51,243.82,208639
2022-10-21,244.90,247.00,242.20,246.57,380612
2022-10-24,248.20,248.79,246.90,247.15,393552
2022-10-25,246.20,249.74,246.00,248.06,495783
2022-10-26,248.99,249.00,244.75,245.17,521177
2022-10-27,243.06,248.50,243.06,245.54,409007
2022-10-28,233.60,236.36,232.00,234.62,464273
2022-10-31,235.90,236.40,234.20,235.20,200804
2022-11-01,235.50,239.89,235.50,239.15,133131
2022-11-02,238.99,242.10,237.70,239.15,251328
2022-11-03,240.48,241.00,237.70,239.99,89593
2022-11-04,239.94,242.49,237.00,239.76,334020
2022-11-07,239.50,242.50,239.50,241.57,74263
2022-11-08,240.11,245.00,240.11,244.03,888933
2022-11-10,243.00,246.60,243.00,244.94,592315
2022-11-11,245.00,246.25,244.00,245.00,535566
2022-11-14,243.09,244.80,241.06,241.96,232207
2022-11-15,241.95,244.75,240.17,244.52,360108
2022-11-16,245.40,262.85,244.25,258.91,2917982
2022-11-17,261.00,261.00,254.50,257.55,1087400
2022-11-18,257.85,261.00,253.16,257.33,452567
2022-11-21,255.00,258.95,253.50,254.73,164658
2022-11-22,254.25,266.50,254.25,260.38,1881312
2022-11-23,260.38,262.75,259.30,262.06,394475
2022-11-24,261.50,266.01,261.01,264.28,578765
2022-11-25,266.00,269.89,266.00,268.30,598200
2022-11-28,264.50,265.20,258.10,262.46,899671
2022-11-29,261.10,268.99,257.51,260.42,1044968
2022-11-30,261.45,264.49,258.76,262.99,457489
2022-12-01,263.97,267.90,262.99,264.07,871515
2022-12-02,265.95,268.10,262.10,265.74,1213353
2022-12-05,266.70,267.25,260.20,261.78,574394
2022-12-06,261.10,263.89,260.50,261.36,1228932
2022-12-07,263.00,264.95,261.05,261.67,449706
2022-12-08,264.25,264.25,260.15,262.93,959715
2022-12-09,265.34,265.34,261.14,262.01,256008
2022-12-12,261.50,262.50,260.35,260.61,159279
2022-12-13,261.00,270.00,260.50,269.20,1872357
2022-12-14,269.20,271.00,266.31,269.02,1070289
2022-12-15,282.00,289.19,276.00,276.72,3458218
2022-12-16,277.05,281.00,274.60,275.67,918629
2022-12-19,276.01,276.01,272.00,272.52,258067
2022-12-20,273.00,273.25,264.00,264.97,771142
2022-12-21,264.90,268.00,259.70,260.11,492699
2022-12-22,262.00,265.00,260.11,262.88,237219
2022-12-23,262.00,263.00,257.50,259.19,378583
2022-12-26,259.00,265.40,259.00,264.69,327545
2022-12-27,265.45,265.45,260.25,261.26,164502
2022-12-28,263.00,263.00,253.50,256.18,567995
2022-12-29,257.01,261.98,256.18,260.79,342240
2022-12-30,259.01,264.00,259.01,262.01,296703
2023-01-02,262.99,274.99,262.99,270.07,991032
2023-01-03,271.50,272.00,263.11,269.36,741967
2023-01-04,271.00,274.99,269.00,270.31,572134
2023-01-05,272.49,279.50,272.49,277.50,948010
2023-01-06,279.40,287.98,276.98,284.68,1293271
2023-01-09,284.00,285.00,279.23,280.24,555598
2023-01-10,282.00,286.80,282.00,283.04,924757
2023-01-11,284.70,285.00,279.20,281.60,361431
2023-01-12,282.01,284.00,279.00,279.48,542972
2023-01-13,278.99,279.82,276.01,278.17,165391
2023-01-16,278.00,278.50,273.00,274.05,357099
2023-01-17,273.25,275.99,260.56,264.80,1511737
2023-01-18,267.50,270.90,265.50,269.56,523941
2023-01-19,271.50,271.50,266.50,267.34,450886
2023-01-20,266.20,268.50,263.00,265.88,267729
2023-01-23,266.45,266.45,262.25,264.23,270369
2023-01-24,265.00,274.00,264.99,273.12,1494429
2023-01-25,275.00,289.48,275.00,286.15,2632053
2023-01-26,288.26,299.50,286.00,296.73,3213854
2023-01-27,296.70,296.73,288.66,289.63,1226246
2023-01-30,288.90,293.49,284.40,285.29,1378169
2023-01-31,286.00,299.90,286.00,298.16,3039370
2023-02-01,300.00,302.95,296.00,297.42,1517467
2023-02-02,298.00,307.15,295.15,305.72,3925013
2023-02-03,308.00,308.80,298.10,300.14,1863597
2023-02-06,301.95,302.50,296.25,299.28,767179
2023-02-07,299.99,301.49,294.50,295.96,648750
2023-02-08,295.96,298.00,292.10,296.75,724298
2023-02-09,297.95,302.75,297.50,298.37,823183
2023-02-10,295.02,298.00,290.55,294.03,1562145
2023-02-13,295.30,299.50,294.29,298.31,1115107
2023-02-14,300.00,301.90,296.00,297.70,1295046
2023-02-15,296.01,299.74,294.90,298.32,719230
2023-02-16,294.90,301.00,293.80,300.02,4766028
2023-02-17,299.99,304.78,300.00,301.08,2956097
2023-02-20,301.49,301.90,299.75,300.01,2095992
2023-02-21,301.50,301.50,299.01,299.94,711588
2023-02-22,299.94,300.00,297.60,299.42,374890
2023-02-23,298.48,299.24,297.00,298.62,751082
2023-02-24,299.50,299.50,297.00,299.00,1365940
